file,algorithm,partitions,ingress,rf,total_ingress,compute_imbalance,total_time,total_network
sssp-128-plsync-fennel,sssp,128,fennel,1.87721,2829.60071,1.0,0,0
connected_component-32-plsync-fennel,connected_component,32,fennel,1.84762,740.81553,1.02452192739,2618.18,129703888654
pagerank-128-plsync-hybrid,pagerank,128,hybrid,3.37463,53.061,1.13989795149,55.7032,22495026011
pagerank-16-plsync-grid,pagerank,16,grid,2.8928,44.00617,1.06991926847,135.84,37255512182
connected_component-32-plsync-hybrid,connected_component,32,hybrid,3.27006,32.92474,1.02865842867,3060.66,315960924050
sssp-128-plsync-hybrid,sssp,128,hybrid,3.37463,41.64987,1.53096203036,4959.81,414621138158
pagerank-32-plsync-hybrid,pagerank,32,hybrid,3.27006,34.95954,1.09279904083,31.369,19435979646
sssp-64-plsync-hybrid,sssp,64,hybrid,3.33982,37.08014,1.08042171105,1861.89,58516602664
pagerank-16-plsyncec-random_ec,pagerank,16,random_ec,3.13701,35.39515,1.01902434764,102.942,27808829910
pagerank-64-plsync-grid,pagerank,64,grid,3.2017,40.10655,1.29444490432,31.636,32812549699
sssp-32-plsync-ldg,sssp,32,ldg,1.84749,599.20963,1.0,0,0
pagerank-8-plsyncec-random_ec,pagerank,8,random_ec,2.88707,48.9481,1.03733105064,108.048,16537949585
pagerank-64-plsync-random,pagerank,64,random,3.33964,45.74852,1.18527617142,59.5377,34825462899
connected_component-64-plsync-ldg,connected_component,64,ldg,1.86718,1151.80367,1.03938063959,3289.92,199906886532
connected_component-128-plsync-hybrid_ginger,connected_component,128,hybrid_ginger,3.35578,133.7638,1.10100037649,8323.25,894775764810
sssp-32-plsync-random,sssp,32,random,3.27074,37.59049,1.01911619923,1310.7,13008695601
connected_component-64-plsync-random,connected_component,64,random,3.33964,32.80523,1.0239774064,4034.16,387197913051
sssp-16-plsync-fennel,sssp,16,fennel,1.80906,400.64159,1.02422172089,1085.67,6390099358
sssp-16-plsync-dbh,sssp,16,dbh,2.50916,132.4776,1.04195325047,1083.42,8450387610
pagerank-8-plsync-random,pagerank,8,random,2.88686,57.2112,1.05678976718,144.807,27977631177
pagerank-128-plsyncec-ldg,pagerank,128,ldg,1.87704,3281.93831,1.22250202389,45.8218,31695574343
pagerank-64-plsyncec-ldg,pagerank,64,ldg,1.86718,1600.77213,1.10685052109,22.8615,18937512447
connected_component-128-plsync-dbh,connected_component,128,dbh,2.68183,646.568,1.08496459209,7963.31,796609048122
pagerank-128-plsyncec-fennel,pagerank,128,fennel,1.87721,3864.27881,1.23549536222,44.0585,31696538979
sssp-16-plsync-hybrid,sssp,16,hybrid,3.13701,39.22984,1.0141882952,1097.88,6391996264
sssp-128-plsync-random_ec,sssp,128,random_ec,3.37463,32.9005,1.45677734326,4959.54,416212407281
connected_component-16-plsync-random_ec,connected_component,16,random_ec,3.13701,34.64846,1.03638806712,2850.75,291108289174
connected_component-16-plsync-hybrid_ginger,connected_component,16,hybrid_ginger,3.01307,86.1688,1.02336135628,2820.4,277210813285
pagerank-8-plsyncec-ldg,pagerank,8,ldg,1.73527,203.5195,1.02796700477,59.0202,8163056591
pagerank-32-plsyncec-random_ec,pagerank,32,random_ec,3.27006,29.3705,1.0739142613,34.125,19746844494
connected_component-16-plsync-dbh,connected_component,16,dbh,2.50916,131.2623,1.03913998686,2490.51,204205466691
pagerank-128-plsyncec-random_ec,pagerank,128,random_ec,3.37463,41.6633,1.43296996187,57.6401,22779353549
