file,algorithm,partitions,ingress,rf,total_ingress,compute_imbalance,total_time,total_network
pagerank-8-plsyncec-random_ec,pagerank,8,random_ec,4.65302,628.67,1.54217350236,787.563,67880912916
connected_component-64-plsync-fennel,connected_component,64,fennel,9.24533,3032.6973,1.29519179524,53.6714,97121542363
pagerank-16-plsync-dbh,pagerank,16,dbh,4.3073,1151.921,1.31156653519,309.225,95180873195
sssp-128-plsyncec-ldg,sssp,128,ldg,12.1405,4944.7502,1.0,0,0
pagerank-64-plsyncec-fennel,pagerank,64,fennel,9.24533,3018.2762,1.9035274922,97.0295,152127191912
connected_component-64-plsync-hybrid,connected_component,64,hybrid,6.3201,681.1311,1.20737930524,38.1087,65856195367
sssp_gather-8-plsync-hybrid,sssp_gather,8,hybrid,2.74933,1092.599,1.06599753088,123.529,42154194874
connected_component-8-plsync-fennel,connected_component,8,fennel,3.5563,1294.423,1.5632420762,332.191,37533837045
sssp-16-plsync-random_ec,sssp,16,random_ec,6.94053,392.85,1.38623192144,39.3543,44121622262
pagerank-32-plsync-hybrid,pagerank,32,hybrid,4.67776,706.2326,1.26387885617,153.189,93245851016
connected_component-32-plsync-ldg,connected_component,32,ldg,7.58424,2037.4238,1.25084513993,97.3972,75281720978
sssp-64-plsync-random,sssp,64,random,17.8269,719.3227,1.71957182446,23.9747,84537742813
pagerank-8-plsyncec-fennel,pagerank,8,fennel,3.5563,1293.305,1.55673577614,643.967,54028102943
pagerank-32-plsync-grid,pagerank,32,grid,0,0,1.0,0,0
pagerank-32-plsyncec-metis,pagerank,32,metis,5.65917,396.3874,1.89339475807,230.963,82450712702
pagerank-128-plsync-random,pagerank,128,random,22.4973,754.8961,1.43780628179,418.939,485505629369
pagerank-16-plsyncec-fennel,pagerank,16,fennel,5.09047,1399.912,2.1735733415,502.058,78413646806
pagerank-128-plsync-ginger,pagerank,0,,0,0,1.0,0,0
connected_component-8-plsync-random_ec,connected_component,8,random_ec,4.65302,610.055,1.45878767631,376.85,44367892923
connected_component-32-plsync-random_ec,connected_component,32,random_ec,9.58776,311.0895,1.42154637627,111.393,82574401412
sssp-128-plsync-grid,sssp,128,grid,0,0,1.0,0,0
connected_component-128-plsync-grid,connected_component,128,grid,0,0,1.0,0,0
sssp-128-plsync-hybrid_ginger,sssp,128,hybrid_ginger,8.65329,868.43,1.2637165868,29.8764,116135433619
connected_component-128-plsync-metis,connected_component,128,metis,9.54814,321.7084,1.54209160366,70.7217,82360731428
sssp-16-plsyncec-fennel,sssp,16,fennel,5.09047,1311.539,1.17346974629,43.4526,38466292089
pagerank-128-plsyncec-random_ec,pagerank,128,random_ec,15.6226,273.2168,1.43587316406,181.45,228340455726
sssp-64-plsync-metis,sssp,64,metis,7.54279,308.0086,1.0,0,0
connected_component-64-plsync-metis,connected_component,64,metis,7.54279,302.862,1.27176640385,38.8478,65686747628
connected_component-32-plsync-grid,connected_component,32,grid,0,0,1.0,0,0
sssp-32-plsync-ldg,sssp,32,ldg,7.58424,1849.7537,1.0,0,0
sssp_gather-16-plsyncec-metis,sssp_gather,16,metis,4.14916,525.537,1.64096297995,110.233,41898460227
sssp_gather-8-plsyncec-random_ec,sssp_gather,8,random_ec,4.65302,612.513,1.35010629371,219.857,44365395343
pagerank-8-plsyncec-ldg,pagerank,8,ldg,4.00342,1426.749,1.8526532841,824.935,60477002253
pagerank-16-plsync-ginger,pagerank,0,,0,0,1.0,0,0
sssp-32-plsync-hybrid_ginger,sssp,32,hybrid_ginger,4.61223,872.291,1.61239173122,21.6149,75826741829
connected_component-16-plsync-metis,connected_component,16,metis,4.14916,494.95,1.67162288415,162.348,39645782476
sssp-16-plsync-metis,sssp,16,metis,4.14916,484.977,1.57591832224,38.3701,33239277503
connected_component-128-plsync-dbh,connected_component,128,dbh,8.33141,1881.672,1.16280240307,51.7223,121524102553
connected_component-64-plsync-ldg,connected_component,64,ldg,9.70161,2898.6847,1.24840342513,51.5802,100519846505
connected_component-8-plsync-ldg,connected_component,8,ldg,4.00342,1414.962,1.59020853997,354.273,41027650513
sssp-16-plsync-dbh,sssp,16,dbh,4.3073,1154.561,1.51553080545,25.2718,57673891429
sssp-64-plsync-random_ec,sssp,64,random_ec,12.4755,264.6936,1.54575397499,20.8964,65558576519
pagerank-8-plsync-hybrid,pagerank,8,hybrid,2.74933,1048.189,1.01483050679,556.249,52290913148
sssp_gather-8-plsyncec-ldg,sssp_gather,8,ldg,4.00342,1408.354,1.71894234584,224.77,42277000079
sssp_gather-128-plsyncec-fennel,sssp_gather,128,fennel,11.6343,5683.343,4.02838003118,71.4411,131725353730
connected_component-128-plsync-random,connected_component,128,random,22.4973,724.5686,1.0726625686,123.946,182797998399
connected_component-16-plsyncec-fennel,connected_component,16,fennel,5.09047,1333.85,1.5066777604,140.999,35582676281
pagerank-16-plsync-grid,pagerank,16,grid,5.50259,871.142,1.68873349663,565.18,115633158263
sssp_gather-64-plsyncec-fennel,sssp_gather,64,fennel,9.24533,3062.4647,1.59135281778,46.5051,94758989811
pagerank-64-plsync-ginger,pagerank,0,,0,0,1.0,0,0
pagerank-16-plsync-hybrid_ginger,pagerank,16,hybrid_ginger,3.49004,1062.212,1.44520444331,299.513,85902490244
pagerank-64-plsync-grid,pagerank,64,grid,9.12598,677.9671,1.58292675993,115.348,195291882301
pagerank-128-plsync-dbh,pagerank,128,dbh,8.33141,2507.868,1.23977458234,146.497,210412304642
sssp_gather-8-plsyncec-metis,sssp_gather,8,metis,3.01963,563.185,1.41007748144,182.096,34203647522
connected_component-64-plsync-hybrid_ginger,connected_component,64,hybrid_ginger,6.27724,745.6802,1.22549407104,38.1444,95063150096
connected_component-16-plsync-dbh,connected_component,16,dbh,4.3073,1121.753,1.38365604728,123.449,58543177838
pagerank-64-plsync-random,pagerank,64,random,17.8269,698.0943,1.33821861481,273.511,382325151641
connected_component-64-plsyncec-fennel,connected_component,64,fennel,9.24533,3037.259,1.26292522194,42.9967,66223218546
connected_component-32-plsync-random,connected_component,32,random,13.4035,714.4476,1.46609539462,138.173,112644614326
sssp-64-plsync-ldg,sssp,64,ldg,9.70161,2810.3529,1.0,0,0
sssp_gather-16-plsyncec-fennel,sssp_gather,16,fennel,5.09047,1458.56,1.97785995352,152.202,52000864825
pagerank-8-plsync-dbh,pagerank,8,dbh,3.24191,1164.181,1.20667624908,526.638,72859428801
connected_component-16-plsync-fennel,connected_component,16,fennel,5.09047,1430.274,1.79655596523,203.206,51699663359
connected_component-128-plsyncec-fennel,connected_component,128,fennel,11.6343,5584.5567,1.27789925557,72.4177,97780154381
sssp-32-plsync-hybrid,sssp,32,hybrid,4.67776,693.1476,1.55026047937,17.9887,48205403937
pagerank-128-plsync-grid,pagerank,128,grid,0,0,1.0,0,0
sssp-16-plsync-hybrid_ginger,sssp,16,hybrid_ginger,3.49004,1003.412,1.47566230718,32.1342,67267639237
pagerank-128-plsyncec-ldg,pagerank,128,ldg,12.1405,4969.2912,3.25819741442,183.981,213751775259
sssp-32-plsync-fennel,sssp,32,fennel,7.11626,1890.8514,1.72239046682,27.6928,53442811962
connected_component-16-plsync-hybrid,connected_component,16,hybrid,3.57002,882.16,1.45356617048,139.801,44370469414
connected_component-16-plsync-grid,connected_component,16,grid,5.50259,852.273,1.4709137365,175.822,51427089848
pagerank-64-plsyncec-metis,pagerank,64,metis,7.54279,319.3384,1.6007004934,76.3175,109879075047
pagerank-32-plsync-hybrid_ginger,pagerank,32,hybrid_ginger,4.61223,899.111,1.24323764842,154.481,114277669285
sssp-128-plsync-random_ec,sssp,128,random_ec,15.6226,278.1003,1.23537659506,42.2072,79111238021
connected_component-64-plsync-grid,connected_component,64,grid,9.12598,679.7404,1.19705321202,40.4995,80085899429
sssp-128-plsyncec-random_ec,sssp,128,random_ec,15.6226,272.0879,1.24413047334,28.4607,68976658459
sssp-16-plsync-random,sssp,16,random,9.35377,810.7,1.37411638198,50.2036,52243374021
